timestamp,time,exchange,symbol,bid1_price,bid1_volume,bid2_price,bid2_volume,ask1_price,ask1_volume,ask2_price,ask2_volume
1753769554201,06:12:34.201,okxus,XRP/USDT:USDT,3.1417,245.01,3.1416,58.42,3.1418,4.57,3.1419,0.82
1753769554901,06:12:34.901,okxus,XRP/USDT:USDT,3.1417,288.78,3.1416,77.77,3.1418,2.97,3.1419,0.79
1753769555001,06:12:35.001,okxus,XRP/USDT:USDT,3.1417,288.8,3.1416,77.77,3.1418,0.44,3.1419,0.79
1753769555201,06:12:35.201,okxus,XRP/USDT:USDT,3.1417,287.11,3.1416,75.87,3.1418,3.45,3.1419,0.79
1753769555301,06:12:35.301,okxus,XRP/USDT:USDT,3.1417,309.85,3.1416,56.31,3.1418,3.46,3.1419,0.79
1753769555401,06:12:35.401,okxus,XRP/USDT:USDT,3.1417,313.7,3.1416,56.31,3.1418,3.46,3.1419,0.79
1753769555601,06:12:35.601,okxus,XRP/USDT:USDT,3.1421,2.78,3.142,1.65,3.1422,111.52,3.1423,30.86
1753769555701,06:12:35.701,okxus,XRP/USDT:USDT,3.1421,3.28,3.142,1.65,3.1422,114.55,3.1423,30.86
1753769555801,06:12:35.801,okxus,XRP/USDT:USDT,3.1421,3.28,3.142,9.45,3.1422,114.46,3.1423,28.5
1753769555901,06:12:35.901,okxus,XRP/USDT:USDT,3.1421,8.44,3.142,9.45,3.1422,114.46,3.1423,39.27
1753769556001,06:12:36.001,okxus,XRP/USDT:USDT,3.1421,30.44,3.142,9.45,3.1422,114.51,3.1423,39.27
1753769556101,06:12:36.101,okxus,XRP/USDT:USDT,3.1421,30.71,3.142,8.29,3.1422,114.52,3.1423,39.27
1753769556701,06:12:36.701,okxus,XRP/USDT:USDT,3.1421,81.92,3.142,8.26,3.1422,80.34,3.1423,39.27
1753769557001,06:12:37.001,okxus,XRP/USDT:USDT,3.1421,84.41,3.142,8.26,3.1422,80.34,3.1423,39.27
1753769557101,06:12:37.101,okxus,XRP/USDT:USDT,3.1421,84.41,3.142,10.13,3.1422,80.34,3.1423,39.27
1753769557601,06:12:37.601,okxus,XRP/USDT:USDT,3.1421,105.92,3.142,8.26,3.1422,89.94,3.1423,39.27
1753769558001,06:12:38.001,okxus,XRP/USDT:USDT,3.1421,112.85,3.142,10.13,3.1422,101.78,3.1423,39.27
1753769558101,06:12:38.101,okxus,XRP/USDT:USDT,3.1421,111.36,3.142,10.13,3.1422,101.78,3.1423,39.27
1753769558201,06:12:38.201,okxus,XRP/USDT:USDT,3.1421,109.1,3.142,10.13,3.1422,101.78,3.1423,39.27
1753769558301,06:12:38.301,okxus,XRP/USDT:USDT,3.1421,106.11,3.142,8.26,3.1422,114.65,3.1423,56.26
1753769558401,06:12:38.401,okxus,XRP/USDT:USDT,3.1421,106.32,3.142,8.26,3.1422,130.44,3.1423,56.26
1753769558501,06:12:38.501,okxus,XRP/USDT:USDT,3.1421,106.43,3.142,9.94,3.1422,130.41,3.1423,56.26
1753769558601,06:12:38.601,okxus,XRP/USDT:USDT,3.1421,108.11,3.142,9.94,3.1422,129.92,3.1423,56.26
1753769558701,06:12:38.701,okxus,XRP/USDT:USDT,3.1421,108.11,3.142,9.94,3.1422,129.92,3.1423,56.26
1753769558801,06:12:38.801,okxus,XRP/USDT:USDT,3.1421,106.43,3.142,8.26,3.1422,129.92,3.1423,56.26
1753769558901,06:12:38.901,okxus,XRP/USDT:USDT,3.1421,106.43,3.142,8.26,3.1422,129.92,3.1423,56.26
1753769559001,06:12:39.001,okxus,XRP/USDT:USDT,3.1421,106.43,3.142,9.84,3.1422,129.92,3.1423,56.26
1753769559201,06:12:39.201,okxus,XRP/USDT:USDT,3.1421,106.43,3.142,9.84,3.1422,129.92,3.1423,56.26
1753769559401,06:12:39.401,okxus,XRP/USDT:USDT,3.1421,132.16,3.142,0.01,3.1422,168.61,3.1423,79.57
1753769559501,06:12:39.501,okxus,XRP/USDT:USDT,3.1421,132.16,3.142,0.01,3.1422,150.4,3.1423,77.99
1753769559601,06:12:39.601,okxus,XRP/USDT:USDT,3.1421,132.17,3.142,1.59,3.1422,150.41,3.1423,77.04
1753769559701,06:12:39.701,okxus,XRP/USDT:USDT,3.1421,132.17,3.142,1.59,3.1422,158.69,3.1423,77.04
1753769559901,06:12:39.901,okxus,XRP/USDT:USDT,3.1421,132.17,3.142,1.59,3.1422,158.44,3.1423,77.04
1753769560001,06:12:40.001,okxus,XRP/USDT:USDT,3.1421,136.11,3.142,1.59,3.1422,158.44,3.1423,77.04
1753769560201,06:12:40.201,okxus,XRP/USDT:USDT,3.1421,136.8,3.142,1.59,3.1422,158.45,3.1423,77.04
1753769560301,06:12:40.301,okxus,XRP/USDT:USDT,3.1421,134.34,3.142,1.49,3.1422,155.97,3.1423,77.04
1753769560401,06:12:40.401,okxus,XRP/USDT:USDT,3.1421,134.53,3.142,1.49,3.1422,155.85,3.1423,77.04
1753769560601,06:12:40.601,okxus,XRP/USDT:USDT,3.1421,133.06,3.142,0.01,3.1422,155.66,3.1423,77.04
1753769560801,06:12:40.801,okxus,XRP/USDT:USDT,3.1421,133.06,3.142,0.01,3.1422,155.66,3.1423,77.04
1753769560901,06:12:40.901,okxus,XRP/USDT:USDT,3.1421,133.06,3.142,0.01,3.1422,155.66,3.1423,77.04
1753769561001,06:12:41.001,okxus,XRP/USDT:USDT,3.1421,133.06,3.142,0.01,3.1422,155.66,3.1423,77.04
1753769561101,06:12:41.101,okxus,XRP/USDT:USDT,3.1421,133.06,3.142,0.01,3.1422,155.66,3.1423,77.04
1753769561201,06:12:41.201,okxus,XRP/USDT:USDT,3.1421,133.06,3.142,0.01,3.1422,156.98,3.1423,78.36
1753769561301,06:12:41.301,okxus,XRP/USDT:USDT,3.1421,133.06,3.142,0.01,3.1422,156.99,3.1423,79.19
1753769561401,06:12:41.401,okxus,XRP/USDT:USDT,3.1421,136.5,3.142,0.01,3.1422,113.94,3.1423,77.04
1753769561601,06:12:41.601,okxus,XRP/USDT:USDT,3.1421,136.5,3.142,0.01,3.1422,115.8,3.1423,77.04
1753769561701,06:12:41.701,okxus,XRP/USDT:USDT,3.1421,136.5,3.142,0.01,3.1422,106.17,3.1423,77.04
1753769561801,06:12:41.801,okxus,XRP/USDT:USDT,3.1421,136.5,3.142,1.44,3.1422,105.93,3.1423,77.04
1753769561901,06:12:41.901,okxus,XRP/USDT:USDT,3.1421,136.5,3.142,1.44,3.1422,103.63,3.1423,77.04
1753769562001,06:12:42.001,okxus,XRP/USDT:USDT,3.1421,138.06,3.142,2.3,3.1422,103.63,3.1423,77.04
1753769562101,06:12:42.101,okxus,XRP/USDT:USDT,3.1421,138.24,3.142,1.44,3.1422,103.64,3.1423,77.04
1753769562201,06:12:42.201,okxus,XRP/USDT:USDT,3.1421,137.02,3.142,2.3,3.1422,103.64,3.1423,77.04
1753769563408,06:12:43.408,okxus,XRP/USDT:USDT,3.1421,138.34,3.142,1.36,3.1422,68.89,3.1423,77.04
1753769563508,06:12:43.508,okxus,XRP/USDT:USDT,3.1421,137.24,3.142,0.01,3.1422,98.86,3.1423,77.04
1753769563902,06:12:43.902,okxus,XRP/USDT:USDT,3.1421,138.5,3.142,1.28,3.1422,99.04,3.1423,77.04
